country_or_territory,Density_km2
Macau,22000
Monaco,19000
Singapore,8290
Hong Kong,7062
Gibraltar,5800
Bahrain,2034
Vatican City,1800
Maldives,1759
Malta,1686
Bangladesh,1333
Sint Maarten,1275
Bermuda,1197
Palestine,892
Jersey,891
Guernsey,867
Barbados,657
Taiwan,656
Mauritius,637
Aruba,600
Nauru,597
Rwanda,578
Lebanon,568
Saint Barthélemy,563
San Marino,560
Burundi,547
Netherlands,541
South Korea,530
Saint Martin,523
India,488
Israel,468
Comoros,466
Haiti,427
Curaçao,418
Philippines,389
Belgium,385
Sri Lanka,373
Puerto Rico,366
Grenada,345
Japan,340
Vietnam,303
Tuvalu,322
Guam,311
Cayman Islands,310
El Salvador,306
Saint Lucia,295
Trinidad and Tobago,294
Pakistan,289
United Kingdom,285
Seychelles,284
Kuwait,277
Gambia,273
Qatar,265
British Virgin Islands,263
Jamaica,262
Luxembourg,261
Saint Vincent and the Grenadines,258
Nigeria,255
Tokelau,251
Uganda,249
Liechtenstein,249
São Tomé and Príncipe,245
U.S. Virgin Islands,243
Germany,242
Dominican Republic,237
American Samoa,234
Malawi,230
Switzerland,226
North Korea,220
Antigua and Barbuda,213
Marshall Islands,209
Nepal,207
Italy,201
Saint Kitts and Nevis,180
Togo,175
Andorra,174
Guatemala,172
Bonaire,169
Saba,166
Kiribati,166
Anguilla,162
Micronesia,162
Sint Eustatius,156
United Arab Emirates,155
Kosovo,154
Ghana,151
China,151
Indonesia,150
Denmark,149
Isle of Man,148
Cyprus,147
Tonga,145
Thailand,140
Czech Republic,139
Syria,133
Cape Verde,130
Jordan,130
Benin,128
Poland,126
Azerbaijan,125
France,122
Sierra Leone,120
Egypt,117
Ethiopia,117
Slovakia,115
Northern Cyprus,114
Portugal,114
Turkey,114
Austria,111
Malaysia,108
Iraq,106
Hungary,106
Slovenia,105
Armenia,104
Albania,102
Costa Rica,100
Ivory Coast,100
Cambodia,100
Kenya,99
Honduras,97
Northern Mariana Islands,96
Senegal,96
Spain,97
Timor-Leste,94
Moldova,92
Cuba,89
Dominica,88
Transnistria,88
Brunei,88
Burkina Faso,86
Serbia,85
Myanmar,84
Romania,83
Uzbekistan,83
French Polynesia,81
Wallis and Futuna,81
Tunisia,79
Samoa,78
Guinea-Bissau,78
Greece,78
Tanzania,77
Lesotho,77
Yemen,77
Tajikistan,76
Ireland,76
Ecuador,73
North Macedonia,72
Eswatini,72
Akrotiri and Dhekelia,72
Croatia,69
Equatorial Guinea,67
Mexico,67
Afghanistan,65
Ukraine,65
Bulgaria,62
Bosnia and Herzegovina,62
Cameroon,62
Panama,61
Norfolk Island,61
Guinea,60
Liberia,58
Nicaragua,57
Cook Islands,57
Iran,56
Madagascar,55
Georgia,55
South Africa,53
Morocco,53
Fiji,51
Djibouti,50
Turks and Caicos Islands,49
DR Congo,48
Colombia,48
Montenegro,47
Lithuania,46
Belarus,45
Mozambique,44
Montserrat,44
Cocos (Keeling) Islands,43
Zimbabwe,43
Faroe Islands,40
Bahamas,40
Palau,38
United States,37
Kyrgyzstan,37
Somaliland,35
Laos,34
Venezuela,32
Estonia,32
Angola,30
Somalia,30
Latvia,30
Solomon Islands,29
Eritrea,29
Zambia,29
Abkhazia,28
Sudan,27
Vanuatu,27
Peru,27
Chile,27
Sweden,26
Brazil,25
Saint Pierre and Miquelon,24
Papua New Guinea,23
Niger,21
Bhutan,21
Mali,20
New Zealand,20
Åland,20
Algeria,20
Uruguay,19
South Sudan,19
Congo,19
Finland,18
Belize,18
Paraguay,17
Oman,17
Argentina,17
Chad,16
New Caledonia,16
Turkmenistan,16
Saudi Arabia,16
Norway,15
South Ossetia,14
(Saint Helena Ascension and Tristan da Cunha),13
Christmas Island,13
Bolivia,11
Gabon,9.9
Russia,8.6
Central African Republic,8.6
Kazakhstan,7.6
Niue,7
Mauritania,5
Canada,4.5
Botswana,4.4
Guyana,4.2
Libya,4.2
Suriname,4
Iceland,3.9
Namibia,3.7
Australia,3.5
Mongolia,2.2
Western Sahara,2.2
Pitcairn Islands,0.85
Falkland Islands,0.29
Greenland,0.026
