country_or_territory,population
India,1417492000
China,1408280000
United States,340110988
Indonesia,284438782
Pakistan,241499431
Nigeria,223800000
Brazil,213421037
Bangladesh,169828911
Russia,146028325
Mexico,130760049
Japan,123190000
Philippines,114123600
DR Congo,112832000
Ethiopia,111652998
Egypt,107271260
Vietnam,101343800
Iran,85961000
Turkey,85664944
Germany,83491249
United Kingdom,69281437
France,68736000
Tanzania,68153004
Thailand,65826149
South Africa,63100945
Italy,58925596
Kenya,53330978
Colombia,53057212
Sudan,51662000
Myanmar,51316756
South Korea,51143421
Spain,49442844
Algeria,47400000
Argentina,46387098
Iraq,46118793
Uganda,45905417
Afghanistan,43844000
Canada,41651653
Uzbekistan,38069116
Poland,37376000
Morocco,36828330
Angola,36604681
Saudi Arabia,35300280
Peru,34350244
Malaysia,34281100
Mozambique,34090466
Ghana,33742380
Ukraine,32862000
Yemen,32684503
Madagascar,31727042
Ivory Coast,31719275
Nepal,29911840
Cameroon,29442327
Venezuela,28517000
Australia,27536874
Niger,26312034
Syria,26019711
North Korea,25950000
Burkina Faso,24070553
Taiwan,23317031
Mali,22395489
Sri Lanka,21763170
Malawi,20734262
Kazakhstan,20464077
Chile,20206953
Zambia,19693423
Somalia,19655000
Chad,19340757
Romania,19036031
Senegal,18593258
Netherlands,18130662
Ecuador,18103660
Guatemala,18079810
Cambodia,17577760
Zimbabwe,17073087
South Sudan,15786898
Guinea,14363931
Rwanda,14104969
Benin,13224860
Burundi,12332788
Tunisia,11972169
Belgium,11917402
Haiti,11867032
Jordan,11734000
Bolivia,11365333
United Arab Emirates,11294243
Czech Republic,10882341
Dominican Republic,10771504
Portugal,10749635
Sweden,10610485
Tajikistan,10499000
Greece,10400720
Azerbaijan,10253647
Papua New Guinea,10185363
Israel,10147200
Honduras,9892632
Cuba,9748007
Hungary,9539502
Austria,9216459
Belarus,9109280
Switzerland,9104063
Sierra Leone,9077691
Togo,8095498
Laos,7647000
Hong Kong,7527500
Libya,7459000
Kyrgyzstan,7281800
Turkmenistan,7057841
Nicaragua,6803886
Serbia,6567783
Central African Republic,6470307
Bulgaria,6437360
Congo,6142180
Singapore,6110200
Paraguay,6109644
El Salvador,6029976
Denmark,6019866
Finland,5655715
Norway,5618354
Lebanon,5490000
Palestine,5483450
Ireland,5458600
Slovakia,5413191
Oman,5356019
New Zealand,5334200
Liberia,5248621
Costa Rica,5191824
Mauritania,4927532
Kuwait,4881254
Panama,4064780
Croatia,3866233
Georgia,3704500
Eritrea,3607000
Mongolia,3544835
Uruguay,3499451
Bosnia and Herzegovina,3422000
Puerto Rico,3203295
Qatar,3173024
Armenia,3076200
Namibia,3022401
Lithuania,2895826
Jamaica,2774538
Gabon,2469296
Gambia,2422712
Moldova,2381300
Albania,2363314
Botswana,2359609
Slovenia,2130986
Lesotho,2116427
Latvia,1827800
North Macedonia,1822612
Guinea-Bissau,1781308
Equatorial Guinea,1668768
Bahrain,1594654
Kosovo,1585566
Timor-Leste,1391221
Estonia,1369995
Trinidad and Tobago,1367764
Mauritius,1243741
Eswatini,1235549
Djibouti,1066809
Cyprus,966400
Comoros,919901
Fiji,900869
Bhutan,784043
Guyana,772975
Solomon Islands,750325
Macau,686600
Luxembourg,681973
Montenegro,623327
Suriname,616500
Western Sahara,600904
Malta,574250
Maldives,515132
Cape Verde,491233
Northern Cyprus,476214
Brunei,455500
Belize,417634
Bahamas,398165
Iceland,393160
Transnistria,367776
Vanuatu,321409
French Polynesia,279500
Barbados,267800
New Caledonia,264596
Abkhazia,244236
São Tomé and Príncipe,209607
Samoa,205557
Saint Lucia,184100
Curaçao,156115
Guam,153836
Seychelles,122729
Kiribati,120740
Saint Vincent and the Grenadines,110872
Grenada,109021
Aruba,108880
Micronesia,105564
Antigua and Barbuda,103603
Jersey,103267
Tonga,100179
Andorra,88881
U.S. Virgin Islands,87146
Cayman Islands,84738
Isle of Man,84530
Dominica,67408
Guernsey,64781
Bermuda,64055
Greenland,56542
South Ossetia,56520
Faroe Islands,54858
Saint Kitts and Nevis,51320
Turks and Caicos Islands,50828
American Samoa,49710
Northern Mariana Islands,47329
Marshall Islands,42418
Sint Maarten,41349
Liechtenstein,40886
British Virgin Islands,39471
Monaco,38423
Gibraltar,38196
San Marino,34154
Saint Martin,31496
Palau,16733
Anguilla,16010
Cook Islands,15040
Nauru,11680
Wallis and Futuna,11620
Tuvalu,10643
Saint Barthélemy,10562
Saint Pierre and Miquelon,5819
(Saint Helena Ascension and Tristan da Cunha),5651
Montserrat,4386
Falkland Islands,3662
Tokelau,2608
Norfolk Island,2188
Christmas Island,1692
Niue,1681
Vatican City,882
Cocos (Keeling) Islands,593
Pitcairn Islands,35
